************* Module main
main.py:154: [W0621(redefined-outer-name), SecondWindow.filesentimentaction] Redefining name 'pos' from outer scope (line 37)
main.py:155: [W0621(redefined-outer-name), SecondWindow.filesentimentaction] Redefining name 'neg' from outer scope (line 38)
main.py:206: [W0621(redefined-outer-name), SecondWindow.filesentimentaction] Redefining name 'button3' from outer scope (line 349)
main.py:124: [C0103(invalid-name), SecondWindow.filesentimentaction] Constant name "file" doesn't conform to UPPER_CASE naming style
main.py:124: [W0601(global-variable-undefined), SecondWindow.filesentimentaction] Global variable 'file' undefined at the module level
main.py:179: [C0115(missing-class-docstring), SecondWindow.filesentimentaction.graphactions] Missing class docstring
main.py:179: [C0103(invalid-name), SecondWindow.filesentimentaction.graphactions] Class name "graphactions" doesn't conform to PascalCase naming style
main.py:183: [C0116(missing-function-docstring), SecondWindow.filesentimentaction.graphactions.simplegraph] Missing function or method docstring
main.py:190: [C0116(missing-function-docstring), SecondWindow.filesentimentaction.graphactions.scattergraph] Missing function or method docstring
main.py:193: [C0103(invalid-name), SecondWindow.filesentimentaction.graphactions.scattergraph] Variable name "x" doesn't conform to snake_case naming style
main.py:195: [C0103(invalid-name), SecondWindow.filesentimentaction.graphactions.scattergraph] Variable name "y" doesn't conform to snake_case naming style
main.py:202: [C0103(invalid-name), SecondWindow.filesentimentaction] Variable name "a" doesn't conform to snake_case naming style
main.py:123: [R0915(too-many-statements), SecondWindow.filesentimentaction] Too many statements (51/50)
main.py:94: [R0915(too-many-statements), SecondWindow] Too many statements (70/50)
main.py:224: [C0116(missing-function-docstring), ThirdWindow] Missing function or method docstring
main.py:224: [C0103(invalid-name), ThirdWindow] Function name "ThirdWindow" doesn't conform to snake_case naming style
main.py:232: [W0621(redefined-outer-name), ThirdWindow] Redefining name 'label1' from outer scope (line 33)
main.py:249: [W0621(redefined-outer-name), ThirdWindow] Redefining name 'button1' from outer scope (line 90)
main.py:344: [W0621(redefined-outer-name), ThirdWindow] Redefining name 'button2' from outer scope (line 220)
main.py:244: [C0103(invalid-name), ThirdWindow] Variable name "dt" doesn't conform to snake_case naming style
main.py:253: [R0914(too-many-locals), ThirdWindow.deepfilesentimentaction] Too many local variables (21/15)
main.py:284: [W0621(redefined-outer-name), ThirdWindow.deepfilesentimentaction] Redefining name 'pos' from outer scope (line 37)
main.py:285: [W0621(redefined-outer-name), ThirdWindow.deepfilesentimentaction] Redefining name 'neg' from outer scope (line 38)
main.py:336: [W0621(redefined-outer-name), ThirdWindow.deepfilesentimentaction] Redefining name 'button3' from outer scope (line 349)
main.py:254: [C0103(invalid-name), ThirdWindow.deepfilesentimentaction] Constant name "file" doesn't conform to UPPER_CASE naming style
main.py:254: [W0601(global-variable-undefined), ThirdWindow.deepfilesentimentaction] Global variable 'file' undefined at the module level
main.py:309: [C0115(missing-class-docstring), ThirdWindow.deepfilesentimentaction.graphactions] Missing class docstring
main.py:309: [C0103(invalid-name), ThirdWindow.deepfilesentimentaction.graphactions] Class name "graphactions" doesn't conform to PascalCase naming style
main.py:313: [C0116(missing-function-docstring), ThirdWindow.deepfilesentimentaction.graphactions.simplegraph] Missing function or method docstring
main.py:320: [C0116(missing-function-docstring), ThirdWindow.deepfilesentimentaction.graphactions.scattergraph] Missing function or method docstring
