************* Module cosmo
cosmo.py:7: [C0411(wrong-import-order), ] standard import "import sys, os, re, threading, json" should be placed before "from Fileop import File"
cosmo.py:7: [C0411(wrong-import-order), ] standard import "import sys, os, re, threading, json" should be placed before "from Fileop import File"
cosmo.py:9: [C0411(wrong-import-order), ] third party import "from PIL import Image, ImageTk" should be placed before "from Fileop import File"
cosmo.py:10: [C0411(wrong-import-order), ] standard import "import subprocess as subp" should be placed before "from PIL import Image, ImageTk"
cosmo.py:11: [C0411(wrong-import-order), ] standard import "import argparse" should be placed before "from PIL import Image, ImageTk"
cosmo.py:3: [W0611(unused-import), ] Unused File imported from Fileop
cosmo.py:5: [W0611(unused-import), ] Unused ttk imported from tkinter
cosmo.py:8: [W0611(unused-import), ] Unused _text imported from _entry
cosmo.py:2: [W0614(unused-wildcard-import), ] Unused import(s) collections, enum, types, TclError, wantobjects, TkVersion, TclVersion, READABLE, WRITABLE, EXCEPTION, EventType, Event, NoDefaultRoot, Variable, StringVar, IntVar, DoubleVar, BooleanVar, mainloop, getint, getdouble, getboolean, Misc, CallWrapper, XView, YView, Wm, Tcl, Pack, Place, Grid, BaseWidget, Widget, Toplevel, Button, Canvas, Checkbutton, Entry, Listbox, Menubutton, Message, Radiobutton, Scale, Scrollbar, Text, OptionMenu, PhotoImage, BitmapImage, image_names, image_types, Spinbox, LabelFrame, NO, FALSE, OFF, YES, TRUE, ON, N, S, W, E, NW, SW, NE, SE, NS, EW, NSEW, CENTER, NONE, X, Y, LEFT, TOP, RIGHT, BOTTOM, RAISED, SUNKEN, FLAT, RIDGE, GROOVE, SOLID, HORIZONTAL, NUMERIC, CHAR, WORD, BASELINE, INSIDE, OUTSIDE, SEL, SEL_FIRST, SEL_LAST, CURRENT, ANCHOR, ALL, NORMAL, DISABLED, ACTIVE, HIDDEN, CASCADE, CHECKBUTTON, COMMAND, RADIOBUTTON, SEPARATOR, SINGLE, BROWSE, MULTIPLE, EXTENDED, DOTBOX, UNDERLINE, PIESLICE, CHORD, ARC, FIRST, LAST, BUTT, PROJECTING, ROUND, BEVEL, MITER, MOVETO, SCROLL, UNITS and PAGES from wildcard import of tkinter
cosmo.py:4: [W0614(unused-wildcard-import), ] Unused import(s) json_file, load, style, about, root_config, author, email, style_on_event, abg, afg, enter_color, leave_color, icon, color_ch and apply_ch from wildcard import of config_tk
